front,back,example,notes
Je voudrais ceci s'il vous plaît Gg vu dreh sussi sil vu play,I'd like this please,,
Le menu s'il vous plaît lu menu sil vu play,The menu please,,
Avez-vous des recommandations? ave vu de rho co men detsion,Do you have any recommendation?,,
Je suis allergique aux cacahutètes gg swis allergic o cacovet,I'm allergic to peanuts,,
Avez-vous des plats végétariens? ave vu de pla vegiterhia,Do you have any vegetarian dishes,,
Pourrais-je avoir l'addition s'il vous plaît? pu rhey gg varh ladition sil vu play,Could I have the bill please?,,
Puis-je payer avec ma carte? pushjj paye avec ma carht,Can I pay with my card?,,
Est-ce que je pourrais avoir un rabais s'il vous plaît? yes ku ju purh varh un rabey sil vu play,Give me a discount please?,,
J'ai une réservation. jai une reserhveysion,I have a reservation,,
Avez-vous une réservation? ave vu une reserhveysion,Do you have a reservation?,,
Puis-je essayer ceci? pwu jesu ieyrh sussi,Can I try this?,,
Une bière síl vous plaît une bierh sil vu play,A beer please,,
C'est vrai say vrai,That's true,,
Je crois que oui. gg crwa ku v,I guess so,,
Qu'en pensez-vous? kompo se vu,What do you think?,,
Peut-être po thethre,Maybe,,
Je ne pense pas gg nu pass pa,I don't think so,,
Bien sûr bi an surh,of course,,
J'allais le dire  jala lu dirh,I was just going to say that,,
Je crains d'être en désaccord gg crhan de trhon en disaccord,I'm afraid I disagree,,
Ce sera tout? su suhra thu,Will that be all?,,
Que recommandez-vous? ku rhecomonde vu,What do you recommend?,,
Je vais prendre name of the food s'il vous plaît. gg way prhandre....... sil vu play,I will take/have (name of the food) please,,
Ça te dit? sa te di,Does that sound good to you?,,
Ça me dit quelque chose. sa me di kelku shows,This says something to me. (That rings a bell),,
Ça ne me dit rien. sa ne me di rhia,This doesn't say anything to me. (That doesn't ring a bell),,
Ça alors! sa lorh,How about that!,,
Vous avez bon goût. vu zave bongu,You have a good taste,,
Vous êtes magnifique. vu zet mahnific,You look gorgeous,,
Beau travail! bo trhavai,Good job!,,
Votre sourire est magnifique votre surhi erh mahnific,Your smile is beautiful,,
Allons-y plutôt en bateau aloncy pluto on batwu,Let's go by boat instead.,,
Nous avons aussi des muffins. nusavo ossy de muffin,We also have muffins,,
J'ai parfaitement compris tout ce que vous avez dit. jay parfectuma comprhi tusuku vuzavedi ,I completely understood everything you said.,,
J'apprends le français par moi-même. japrhand le farhnzay pa momem,I am learning french all by myself,,
Le français est amusant et facile à apprendre. lu farhnzay ett amusa A fasil A aprhand,French is fun and easy to learn,,
Où sont les toilettes? ou son le toilet,Where is the washroom?,,
Où travaillez-vous? ou trhaveyy evu,Where do you work?,,
J'ai sommeil gg somai,I'm sleepy,,
Je pète la forme gg petla forhm,I'm great,,
Je me sens mal. gg mu somal,I'm feeling bad,,
Ça va pas mal. sa va pamal,I'm not bad,,
Merci d'avoir demandé mercy davorh dumande,Thank you for asking,,
"Désolé, jávais oublié.  desole jjvey oubliiye","Sorry, I forgot",,
Il faut qu'on parle. il foncco parll,We need to talk,,
Je te l'avais dit. gg tulave di,I told you so,,
Je me brosse les dents. gg mu brhoss le dond,I brush my teeth,,
Je verrouille la porte gg verhruela porht,I lock the door,,
Je vais au travail gg vey o trhvaii,I go to work,,
J'écoute de la musique sur mon smartphone. ggcutt du la music surhmo smarhtphone,I listen to music on my smartphone,,
J'allume mon ordinateur ggelum morhdinaterh,I turn on my computer,,
Je vérifie mes e-mails. gg verifi mes email,I check my emails,,
Je fais la lessive  gg feyla lessive,I do laundry,,
Je prépare le déjeuner  gg prhepharh lu dejony,I make lunch,,
Qu'est-ce que c'est? kesku say,What is it?,,
Qu'est-ce ce plat contient? kesku su pla conton,What does this dish have in it?,,
Est-ce que c'est possible  de payer séparément? ss ku say possible du payey separemon,Is it possible to pay separately?,,
l'addition s'il vous plaît. ladisiyon sil vu play,The bill please.,,
J'aimerais aller à ..name of the place... jemrais alli aa .....,I would like to goto....(place name),,
Est-ce la bonne plateforme pour .....? ess la bon platform pur ....?,Is this the platform for...?,,
À quelle heure est le dernier train? a kel heur a lu derhnr trha,At what time is the last train?,,
Où puis-je changer  pour .....?  ou puijj shanje purh ...?,Where can I change for ....?,,
Où est-ce que je peux acheter  un billet? ou s kuje puvey ashithe un biyey,Where can I buy a ticket?,,
"Pouvez-vous le répéter s'il vous plaît? puvevu lu rhepete, sil vu play",Can you please repeat it again?,,
"Pouvez-vous le dire lentement, s'il vous plaît? puvevu lu dirh lontumon, sil vu play","Can you say it slowly, please?",,
Avez-vous fini? avevu fini,Did you finish?,,
Je vais dormir vers minuit gg veyy dorhmirh verh min v,I go to sleep around midnight.,,
Je me lève à sept 7 heures. gg me lev a set horh,I wake up at 7am.,,
Comment puis-je vous aider? commo puishh vusede,How can I help you?,,
"Pourriez-vous parler lentement, s’il vous plaît? parce que je comprends un peu français. purhe vu parle lontmo sil vu play? parseku gg comprhe anpu fransey",Could you talk slowly please? because I understand a little french.,,
se reposer pendant quelques minutes,to rest for a few minutes,,
se relaxer après une longue journée,to relax after a long day,,
se relaxer en regardant la télé,to relax by watching TV,,
se détendre en écoutant de la musique,to relax by listening to music,,
se relaxer en prenant un bain,to relax by taking a bath,,
se relaxer en faisant du yoga,to relax by doing yoga,,
se détendre en méditant,to relax by meditating,,
se relaxer en lisant un livre,to relax by reading a book,,
se relaxer en faisant une promenade,to relax by taking a walk,,
se détendre en faisant du jardinage,to relax by gardening,,
se relaxer en écoutant les oiseaux,to relax by listening to birds,,
se relaxer en prenant une pause,to relax by taking a break,,
se détendre en pratiquant la respiration profonde,to relax by practicing deep breathing,,
se relaxer en faisant des exercices de relaxation,to relax by doing relaxation exercises,,
se relaxer en pratiquant la méditation guidée,to relax by practicing guided meditation,,
se détendre en écoutant les vagues de la mer,to relax by listening to ocean waves,,
se relaxer en regardant les étoiles,to relax by looking at the stars,,
se détendre en prenant un massage,to relax by getting a massage,,
se relaxer en buvant une tasse de thé,to relax by drinking a cup of tea,,
se relaxer en écoutant de la musique apaisante,to relax by listening to calming music,,
se relaxer en regardant un coucher de soleil,to relax by watching a sunset,,
se détendre en prenant un bain chaud,to relax by taking a warm bath,,
se relaxer en pratiquant le yoga,to relax by practicing yoga,,
se relaxer en écoutant de la musique douce,to relax by listening to soft music,,
se relaxer en prenant un bain moussant,to relax by taking a bubble bath,,
se détendre en faisant de la méditation,to relax by practicing meditation,,
se relaxer en écoutant le bruit de la pluie,to relax by listening to the sound of rain,,
se relaxer en regardant les arbres danser au vent,to relax by watching trees dance in the wind,,
se détendre en observant les nuages passer,to relax by watching clouds go by,,
se relaxer en écoutant les chants d'oiseaux,to relax by listening to birdsong,,
se relaxer en regardant les vagues de l'océan,to relax by watching ocean waves,,
se relaxer en écoutant les feuilles bruire,to relax by listening to leaves rustle,,
se relaxer en écoutant les rires d'enfants,to relax by listening to children's laughter,,
se détendre en respirant profondément,to relax by breathing deeply,,
se relaxer en faisant une pause café,to relax by taking a coffee break,,
se relaxer en écoutant de la musique relaxante,to relax by listening to relaxing music,,
se relaxer en pratiquant la pleine conscience,to relax by practicing mindfulness,,
se relaxer en prenant un moment pour soi,to relax by taking a moment for oneself,,
se relaxer en se déconnectant des écrans,to relax by disconnecting from screens,,
se relaxer en faisant une séance de yoga,to relax by doing a yoga session,,
se relaxer en prenant quelques respirations profondes,to relax by taking a few deep breaths,,
se relaxer en méditant dans la nature,to relax by meditating in nature,,
se relaxer en lisant un livre inspirant,to relax by reading an inspirational book,,
se relaxer en regardant un film apaisant,to relax by watching a calming movie,,
se relaxer en prenant une pause déjeuner,to relax by taking a lunch break,,
se relaxer en faisant une sieste,to relax by taking a nap,,
se relaxer en écoutant un podcast relaxant,to relax by listening to a relaxing podcast,,
se relaxer en pratiquant des exercices de relaxation,to relax by doing relaxation exercises,,
se relaxer en se concentrant sur sa respiration,to relax by focusing on one's breathing,,
se relaxer en prenant un bain de soleil,to relax by sunbathing,,
se relaxer en observant les étoiles dans le ciel,to relax by observing the stars in the sky,,
se relaxer en prenant une tasse de thé chaud,to relax by having a cup of hot tea,,
se relaxer en écoutant les sons de la nature,to relax by listening to the sounds of nature,,
se relaxer en se balançant doucement,to relax by gently swinging,,
se relaxer en faisant une pause méditative,to relax by taking a meditative break,,
se relaxer en prenant une pause créative,to relax by taking a creative break,,
se relaxer en se plongeant dans un hobby,to relax by immersing oneself in a hobby,,
se relaxer en peignant ou en dessinant,to relax by painting or drawing,,
se relaxer en écoutant un livre audio,to relax by listening to an audiobook,,
se relaxer en prenant une pause dans la nature,to relax by taking a nature break,,
se relaxer en observant les oiseaux dans le jardin,to relax by watching birds in the garden,,
se relaxer en faisant une pause au parc,to relax by taking a break in the park,,
se relaxer en respirant l'air frais,to relax by breathing fresh air,,
se relaxer en prenant une pause contemplative,to relax by taking a contemplative break,,
se relaxer en écoutant les vagues de l'océan,to relax by listening to ocean waves,,
se relaxer en observant les nuages passer,to relax by watching clouds go by,,
se relaxer en admirant le coucher de soleil,to relax by admiring the sunset,,
se relaxer en regardant les étoiles dans le ciel,to relax by watching the stars in the sky,,
se relaxer en écoutant le chant des grillons,to relax by listening to the crickets' song,,
se relaxer en observant la lune dans la nuit,to relax by observing the moon at night,,
se relaxer en écoutant les sons de la forêt,to relax by listening to the sounds of the forest,,
se relaxer en méditant près d'une cascade,to relax by meditating near a waterfall,,
se relaxer en contemplant les étoiles filantes,to relax by watching shooting stars,,
se relaxer en écoutant le chant des baleines,to relax by listening to the song of whales,,
se relaxer en observant les dauphins jouer,to relax by watching dolphins play,,
se relaxer en méditant près d'un lac paisible,to relax by meditating near a peaceful lake,,
se relaxer en écoutant le bruit des vagues,to relax by listening to the sound of waves,,
se relaxer en observant les feuilles danser,to relax by watching leaves dance,,
se relaxer en écoutant le murmure du vent,to relax by listening to the whisper of the wind,,
se relaxer en contemplant les couleurs du coucher de soleil,to relax by contemplating the colors of the sunset,,
se relaxer en écoutant le chant des cigales,to relax by listening to the song of cicadas,,
se relaxer en observant les éclairs dans le ciel,to relax by watching lightning in the sky,,
se relaxer en écoutant les bruits de la jungle,to relax by listening to jungle sounds,,
se relaxer en observant les aurores boréales,to relax by watching the Northern Lights,,
se relaxer en écoutant le chant des grenouilles,to relax by listening to the song of frogs,,
se relaxer en contemplant les étoiles dans le désert,to relax by contemplating the stars in the desert,,
se relaxer en écoutant le chant des grillons,to relax by listening to crickets' song,,
se relaxer en observant les papillons voler,to relax by watching butterflies fly,,
se relaxer en écoutant les bruits de la savane,to relax by listening to savanna sounds,,
se relaxer en contemplant les paysages montagneux,to relax by contemplating mountain landscapes,,
se relaxer en écoutant les chants des oiseaux exotiques,to relax by listening to exotic birds' songs,,
se relaxer en observant les éléphants dans la nature,to relax by watching elephants in nature,,
se relaxer en écoutant le chant des dauphins,to relax by listening to dolphins' song,,
se relaxer en contemplant les étoiles dans la clarté de la nuit,to relax by contemplating stars in the night's brightness,,
se relaxer en écoutant les bruits de la ferme,to relax by listening to farm sounds,,
c'est pareil,it's the same,,
c'est pas pareil,it's not the same,,